DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,64,46,71.90%,32,50%,69.60%,7,10.90%,15.20%,25,39.10%,54.30%,14,21.90%,30.40%,10,15.60%,6,9.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,52,33,63.50%,19,36.50%,57.60%,8,15.40%,24.20%,11,21.20%,33.30%,14,26.90%,42.40%,16,30.80%,1,1.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,87,67,77%,39,44.80%,58.20%,11,12.60%,16.40%,28,32.20%,41.80%,28,32.20%,41.80%,9,10.30%,11,12.60%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,112,75,67%,36,32.10%,48%,6,5.40%,8%,30,26.80%,40%,39,34.80%,52%,33,29.50%,4,3.60%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,121,64,52.90%,35,28.90%,54.70%,4,3.30%,6.30%,31,25.60%,48.40%,29,24%,45.30%,41,33.90%,11,9.10%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,124,53,42.70%,42,33.90%,79.20%,8,6.50%,15.10%,34,27.40%,64.20%,11,8.90%,20.80%,46,37.10%,20,16.10%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006 Aug,124,60,48.40%,42,33.90%,70%,8,6.50%,13.30%,34,27.40%,56.70%,18,14.50%,30%,39,31.50%,20,16.10%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,61,41,67.20%,40,65.60%,97.60%,0,0%,0%,40,65.60%,97.60%,1,1.60%,2.40%,7,11.50%,12,19.70%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,72,45,62.50%,45,62.50%,100%,0,0%,0%,45,62.50%,100%,0,0%,0%,18,25%,7,9.70%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,79,49,62%,44,55.70%,89.80%,0,0%,0%,44,55.70%,89.80%,5,6.30%,10.20%,20,25.30%,10,12.70%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,80,58,72.50%,48,60%,82.80%,0,0%,0%,48,60%,82.80%,10,12.50%,17.20%,13,16.30%,9,11.30%
